date;pm10;pm2.5;so2;co;o3;no2;max;critical component;category
01/01/2021;7;23;0;21;0;0;23;PM2.5;Baik
01/02/2021;7;23;0;21;0;0;23;PM2.5;Baik
01/03/2021;9;30;1;25;0;0;30;PM2.5;Baik
01/04/2021;10;34;0;22;0;0;34;PM2.5;Baik
01/05/2021;5;38;0;21;2;0;38;PM2.5;Baik
01/06/2021;23;62;1;25;18;0;62;PM2.5;Sedang
01/07/2021;22;58;1;29;21;0;58;PM2.5;Sedang
01/08/2021;20;55;2;28;1;0;55;PM2.5;Sedang
01/09/2021;16;51;1;24;0;0;51;PM2.5;Sedang
01/10/2021;8;26;0;21;0;0;26;PM2.5;Baik
01/11/2021;11;33;2;29;0;0;33;PM2.5;Baik
01/12/2021;9;28;5;26;1;0;28;PM2.5;Baik
01/13/2021;6;19;19;21;16;2;21;CO;Baik
01/14/2021;6;17;20;20;28;2;28;O3;Baik
01/15/2021;14;46;23;26;32;3;46;PM2.5;Baik
01/16/2021;17;54;22;23;33;3;54;PM2.5;Sedang
01/17/2021;18;55;24;27;30;4;55;PM2.5;Sedang
01/18/2021;16;52;25;22;14;4;52;PM2.5;Sedang
01/19/2021;19;56;27;25;32;5;56;PM2.5;Sedang
01/20/2021;25;63;24;26;33;5;63;PM2.5;Sedang
01/21/2021;18;54;24;26;30;4;54;PM2.5;Sedang
01/22/2021;17;54;23;27;43;5;54;PM2.5;Sedang
01/23/2021;25;64;23;26;48;4;64;PM2.5;Sedang
01/24/2021;34;77;24;28;42;7;77;PM2.5;Sedang
01/25/2021;32;78;22;24;26;5;78;PM2.5;Sedang
01/26/2021;26;69;22;25;34;5;69;PM2.5;Sedang
01/27/2021;10;34;20;21;38;3;38;O3;Baik
01/28/2021;5;17;18;19;38;3;38;O3;Baik
01/29/2021;13;44;20;27;40;4;44;PM2.5;Baik
01/30/2021;21;66;22;32;49;4;66;PM2.5;Sedang
01/31/2021;26;69;21;27;44;6;69;PM2.5;Sedang
02/01/2021;20;60;19;25;40;6;60;PM2.5;Sedang
02/02/2021;20;64;19;25;39;7;64;PM2.5;Sedang
02/03/2021;20;65;19;25;35;7;65;PM2.5;Sedang
02/04/2021;17;57;21;24;23;4;57;PM2.5;Sedang
02/05/2021;16;59;20;25;29;4;59;PM2.5;Sedang
02/06/2021;22;66;20;24;31;5;66;PM2.5;Sedang
02/07/2021;23;64;21;22;26;5;64;PM2.5;Sedang
02/08/2021;17;55;21;25;22;5;55;PM2.5;Sedang
02/09/2021;20;64;23;27;13;4;64;PM2.5;Sedang
02/10/2021;13;49;22;27;14;4;49;PM2.5;Baik
02/11/2021;13;49;27;34;23;4;49;PM2.5;Baik
02/12/2021;9;33;21;21;31;2;33;PM2.5;Baik
02/13/2021;8;31;19;20;40;3;40;O3;Baik
02/14/2021;17;55;22;24;36;3;55;PM2.5;Sedang
02/15/2021;23;66;19;25;37;5;66;PM2.5;Sedang
02/16/2021;24;71;22;26;21;4;71;PM2.5;Sedang
02/17/2021;23;68;22;25;27;3;68;PM2.5;Sedang
02/18/2021;24;67;23;29;41;2;67;PM2.5;Sedang
02/19/2021;16;53;22;28;60;3;60;O3;Sedang
02/20/2021;25;71;23;31;60;4;71;PM2.5;Sedang
02/21/2021;27;71;19;24;59;4;71;PM2.5;Sedang
02/22/2021;28;70;21;26;53;5;70;PM2.5;Sedang
02/23/2021;19;58;20;23;47;3;58;PM2.5;Sedang
02/24/2021;12;41;17;23;66;2;66;O3;Sedang
02/25/2021;19;56;20;20;50;4;56;PM2.5;Sedang
02/26/2021;25;58;22;8;18;4;58;PM2.5;Sedang
02/27/2021;15;52;25;11;20;5;52;PM2.5;Sedang
02/28/2021;12;44;18;11;37;6;44;PM2.5;Baik
03/01/2021;18;57;23;18;33;6;57;PM2.5;Sedang
03/02/2021;32;77;22;13;11;4;77;PM2.5;Sedang
03/03/2021;31;75;21;15;18;5;75;PM2.5;Sedang
03/04/2021;22;55;21;16;15;6;55;PM2.5;Sedang
03/05/2021;27;59;25;16;4;4;59;PM2.5;Sedang
03/06/2021;21;53;23;12;6;3;53;PM2.5;Sedang
03/07/2021;13;35;20;8;7;3;35;PM2.5;Baik
03/08/2021;9;25;18;8;3;3;25;PM2.5;Baik
03/09/2021;10;27;21;11;4;4;27;PM2.5;Baik
03/10/2021;13;36;19;14;10;6;36;PM2.5;Baik
03/11/2021;23;54;25;22;7;6;54;PM2.5;Sedang
03/12/2021;30;61;20;20;9;7;61;PM2.5;Sedang
03/13/2021;22;52;19;13;4;5;52;PM2.5;Sedang
03/14/2021;13;36;18;9;1;4;36;PM2.5;Baik
03/15/2021;13;36;18;10;1;4;36;PM2.5;Baik
03/16/2021;22;52;23;16;1;4;52;PM2.5;Sedang
03/17/2021;16;41;19;8;0;3;41;PM2.5;Baik
03/18/2021;15;39;21;12;0;2;39;PM2.5;Baik
03/19/2021;18;46;21;17;1;4;46;PM2.5;Baik
03/20/2021;14;36;17;8;1;3;36;PM2.5;Baik
03/21/2021;16;41;20;11;0;3;41;PM2.5;Baik
03/22/2021;13;33;18;6;0;3;33;PM2.5;Baik
03/23/2021;17;44;17;8;1;3;44;PM2.5;Baik
03/24/2021;15;39;18;7;1;3;39;PM2.5;Baik
03/25/2021;14;34;18;7;2;3;34;PM2.5;Baik
03/26/2021;13;34;18;8;2;3;34;PM2.5;Baik
03/27/2021;16;39;19;7;1;3;39;PM2.5;Baik
03/28/2021;16;39;16;11;1;4;39;PM2.5;Baik
03/29/2021;18;44;19;11;1;3;44;PM2.5;Baik
03/30/2021;12;30;19;10;1;3;30;PM2.5;Baik
03/31/2021;21;49;22;19;8;3;49;PM2.5;Baik
04/01/2021;35;14;19;12;8;3;35;PM10;Baik
04/02/2021;24;10;16;11;19;3;24;PM10;Baik
04/03/2021;47;20;20;17;15;4;47;PM10;Baik
04/04/2021;54;24;21;21;21;5;54;PM10;Sedang
04/05/2021;30;12;15;13;20;6;30;PM10;Baik
04/06/2021;52;23;23;22;19;7;52;PM10;Sedang
04/07/2021;46;19;20;15;15;5;46;PM10;Baik
04/08/2021;51;21;25;20;20;4;51;PM10;Sedang
04/09/2021;60;30;17;9;24;4;60;PM10;Sedang
04/10/2021;64;34;13;13;45;6;64;PM10;Sedang
04/11/2021;52;24;12;11;29;7;52;PM10;Sedang
04/12/2021;46;19;13;9;20;5;46;PM10;Baik
04/13/2021;47;19;18;13;18;3;47;PM10;Baik
04/14/2021;43;17;18;11;26;2;43;PM10;Baik
04/15/2021;36;15;17;10;30;3;36;PM10;Baik
04/16/2021;28;11;14;8;29;3;29;O3;Baik
04/17/2021;35;14;15;10;20;3;35;PM10;Baik
04/18/2021;47;20;14;7;16;4;47;PM10;Baik
04/19/2021;52;23;14;10;22;5;52;PM10;Sedang
04/20/2021;33;13;15;6;18;3;33;PM10;Baik
04/21/2021;33;13;14;9;33;3;33;PM10;Baik
04/22/2021;35;13;15;9;51;2;51;O3;Sedang
04/23/2021;34;13;14;8;NaN;2;34;PM10;Baik
04/24/2021;44;18;15;12;NaN;2;44;PM10;Baik
04/25/2021;43;17;15;11;38;3;43;PM10;Baik
04/26/2021;52;22;16;10;23;3;52;PM10;Sedang
04/27/2021;56;26;19;10;23;3;56;PM10;Sedang
04/28/2021;46;18;20;7;20;3;46;PM10;Baik
04/29/2021;52;22;17;13;31;4;52;PM10;Sedang
04/30/2021;53;22;17;13;NaN;4;53;PM10;Sedang
05/01/2021;27;57;17;9;50;5;57;PM2.5;Sedang
05/02/2021;34;64;19;7;49;7;64;PM2.5;Sedang
05/03/2021;24;54;14;9;39;6;54;PM2.5;Sedang
05/04/2021;29;60;14;9;36;5;60;PM2.5;Sedang
