pm10,pm2.5,so2,co,o3,no2,category
7,23,0,21,0,0,Baik
7,23,0,21,0,0,Baik
9,30,1,25,0,0,Baik
10,34,0,22,0,0,Baik
5,38,0,21,2,0,Baik
23,62,1,25,18,0,Sedang
22,58,1,29,21,0,Sedang
20,55,2,28,1,0,Sedang
16,51,1,24,0,0,Sedang
8,26,0,21,0,0,Baik
11,33,2,29,0,0,Baik
9,28,5,26,1,0,Baik
6,19,19,21,16,2,Baik
6,17,20,20,28,2,Baik
14,46,23,26,32,3,Baik
17,54,22,23,33,3,Sedang
18,55,24,27,30,4,Sedang
16,52,25,22,14,4,Sedang
19,56,27,25,32,5,Sedang
25,63,24,26,33,5,Sedang
18,54,24,26,30,4,Sedang
17,54,23,27,43,5,Sedang
25,64,23,26,48,4,Sedang
34,77,24,28,42,7,Sedang
32,78,22,24,26,5,Sedang
26,69,22,25,34,5,Sedang
10,34,20,21,38,3,Baik
5,17,18,19,38,3,Baik
13,44,20,27,40,4,Baik
21,66,22,32,49,4,Sedang
26,69,21,27,44,6,Sedang
20,60,19,25,40,6,Sedang
20,64,19,25,39,7,Sedang
20,65,19,25,35,7,Sedang
17,57,21,24,23,4,Sedang
16,59,20,25,29,4,Sedang
22,66,20,24,31,5,Sedang
23,64,21,22,26,5,Sedang
17,55,21,25,22,5,Sedang
20,64,23,27,13,4,Sedang
13,49,22,27,14,4,Baik
13,49,27,34,23,4,Baik
9,33,21,21,31,2,Baik
8,31,19,20,40,3,Baik
17,55,22,24,36,3,Sedang
23,66,19,25,37,5,Sedang
24,71,22,26,21,4,Sedang
23,68,22,25,27,3,Sedang
24,67,23,29,41,2,Sedang
16,53,22,28,60,3,Sedang
25,71,23,31,60,4,Sedang
27,71,19,24,59,4,Sedang
28,70,21,26,53,5,Sedang
19,58,20,23,47,3,Sedang
12,41,17,23,66,2,Sedang
19,56,20,20,50,4,Sedang
25,58,22,8,18,4,Sedang
15,52,25,11,20,5,Sedang
12,44,18,11,37,6,Baik
18,57,23,18,33,6,Sedang
32,77,22,13,11,4,Sedang
31,75,21,15,18,5,Sedang
22,55,21,16,15,6,Sedang
27,59,25,16,4,4,Sedang
21,53,23,12,6,3,Sedang
13,35,20,8,7,3,Baik
9,25,18,8,3,3,Baik
10,27,21,11,4,4,Baik
13,36,19,14,10,6,Baik
23,54,25,22,7,6,Sedang
30,61,20,20,9,7,Sedang
22,52,19,13,4,5,Sedang
13,36,18,9,1,4,Baik
13,36,18,10,1,4,Baik
22,52,23,16,1,4,Sedang
16,41,19,8,0,3,Baik
15,39,21,12,0,2,Baik
18,46,21,17,1,4,Baik
14,36,17,8,1,3,Baik
16,41,20,11,0,3,Baik
13,33,18,6,0,3,Baik
17,44,17,8,1,3,Baik
15,39,18,7,1,3,Baik
14,34,18,7,2,3,Baik
13,34,18,8,2,3,Baik
16,39,19,7,1,3,Baik
16,39,16,11,1,4,Baik
18,44,19,11,1,3,Baik
12,30,19,10,1,3,Baik
21,49,22,19,8,3,Baik
35,14,19,12,8,3,Baik
24,10,16,11,19,3,Baik
47,20,20,17,15,4,Baik
54,24,21,21,21,5,Sedang
30,12,15,13,20,6,Baik
52,23,23,22,19,7,Sedang
46,19,20,15,15,5,Baik
51,21,25,20,20,4,Sedang
60,30,17,9,24,4,Sedang
64,34,13,13,45,6,Sedang
52,24,12,11,29,7,Sedang
46,19,13,9,20,5,Baik
47,19,18,13,18,3,Baik
43,17,18,11,26,2,Baik
36,15,17,10,30,3,Baik
28,11,14,8,29,3,Baik
35,14,15,10,20,3,Baik
47,20,14,7,16,4,Baik
52,23,14,10,22,5,Sedang
33,13,15,6,18,3,Baik
33,13,14,9,33,3,Baik
35,13,15,9,51,2,Sedang
34,13,14,8,13,2,Baik
44,18,15,12,13,2,Baik
43,17,15,11,38,3,Baik
52,22,16,10,23,3,Sedang
56,26,19,10,23,3,Sedang
46,18,20,7,20,3,Baik
52,22,17,13,31,4,Sedang
53,22,17,13,13,4,Sedang
27,57,17,9,50,5,Sedang
34,64,19,7,49,7,Sedang
24,54,14,9,39,6,Sedang
29,60,14,9,36,5,Sedang
28,58,16,8,47,6,Sedang
25,56,18,10,13,5,Sedang
17,45,20,6,13,3,Baik
19,50,23,7,38,4,Baik
20,50,20,13,38,6,Baik
17,45,18,7,40,6,Baik
20,52,20,9,59,4,Sedang
18,49,19,7,52,4,Sedang
23,55,20,5,54,5,Sedang
23,55,16,8,39,5,Sedang
21,53,16,6,20,5,Sedang
17,46,18,5,20,6,Baik
19,50,15,5,20,5,Baik
22,54,19,6,30,4,Sedang
22,53,15,8,13,4,Sedang
26,57,16,12,13,5,Sedang
29,59,19,16,45,4,Sedang
20,50,15,10,42,3,Baik
22,52,12,8,29,4,Sedang
24,54,12,8,19,5,Sedang
31,60,13,12,26,5,Sedang
37,65,16,13,37,6,Sedang
36,64,19,7,46,7,Sedang
31,60,21,4,57,4,Sedang
26,55,20,8,13,6,Sedang
22,51,19,11,36,6,Sedang
20,48,16,9,23,5,Baik
24,53,21,10,30,5,Sedang
28,56,16,11,32,5,Sedang
40,65,15,13,20,7,Sedang
